tile_id,category,year,path,thumb,lon,lat,epsg,x0,y0,x1,y1,smod_code,crop_frac,built_frac,open_frac,water_frac,valid_fraction,ndvi_mean,ndbi_mean,n_scenes,mean_scene_cloud_pct,bands,downloaded_utc
32643_209_892,city_structures,2025,india_tiles/tiles/city_structures/32643_209_892_2025.tif,india_tiles/thumbs/32643_209_892.jpg,75.35744340202547,20.662401342183426,32643,535040,2283520,537600,2286080,30,0.3579,0.461,0.0339,0.0112,1.0,0.3351,-0.0199,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:19+00:00
32643_294_483,urban_areas,2025,india_tiles/tiles/urban_areas/32643_294_483_2025.tif,india_tiles/thumbs/32643_294_483.jpg,77.3345301563282,11.184197226216037,32643,752640,1236480,755200,1239040,21,0.5523,0.1287,0.2179,0,1.0,0.3943,0.0286,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:19+00:00
32643_90_1198,open_land,2025,india_tiles/tiles/open_land/32643_90_1198_2025.tif,india_tiles/thumbs/32643_90_1198.jpg,72.27743670672241,27.717144860332628,32643,230400,3066880,232960,3069440,11,0.0006,0,0.8474,0,1.0,0.1422,0.1106,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:20+00:00
32644_160_1012,agriculture,2025,india_tiles/tiles/agriculture/32644_160_1012_2025.tif,india_tiles/thumbs/32644_160_1012.jpg,80.13703194426516,23.426598736421973,32644,409600,2590720,412160,2593280,11,0.948,0.0111,0.0022,0,1.0,0.5488,-0.1978,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:21+00:00
32642_283_977,urban_areas,2025,india_tiles/tiles/urban_areas/32642_283_977_2025.tif,india_tiles/thumbs/32642_283_977.jpg,71.19802852925372,22.60850095421474,32642,724480,2501120,727040,2503680,21,0.2718,0.1581,0.0538,0.0019,1.0,0.2421,0.0765,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:22+00:00
32644_118_1414,open_land,2021,india_tiles/tiles/open_land/32644_118_1414_2021.tif,,78.89463629126553,32.71099873159389,32644,302080,3619840,304640,3622400,11,0,0,0.9998,0,1.0,0.0672,0.0786,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:24+00:00
32643_202_1226,agriculture,2025,india_tiles/tiles/agriculture/32643_202_1226_2025.tif,india_tiles/thumbs/32643_202_1226.jpg,75.20032988388793,28.37874069523717,32643,517120,3138560,519680,3141120,11,0.9272,0,0.0073,0.0011,1.0,0.2077,0.1086,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:24+00:00
32644_153_1169,urban_areas,2025,india_tiles/tiles/urban_areas/32644_153_1169_2025.tif,india_tiles/thumbs/32644_153_1169.jpg,79.91804160531322,27.07397334253471,32644,391680,2992640,394240,2995200,21,0.4586,0.2691,0.0505,0,1.0,0.4273,-0.064,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:27+00:00
32643_230_1475,open_land,2025,india_tiles/tiles/open_land/32643_230_1475_2025.tif,india_tiles/thumbs/32643_230_1475.jpg,75.98328184112914,34.14040985067777,32643,588800,3776000,591360,3778560,11,0.0095,0.0023,0.9227,0.0126,1.0,0.1831,-0.0096,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:28+00:00
32643_147_1248,open_land,2025,india_tiles/tiles/open_land/32643_147_1248_2025.tif,india_tiles/thumbs/32643_147_1248.jpg,73.74478848645208,28.88021685085632,32643,376320,3194880,378880,3197440,11,0.0871,0,0.7843,0,1.0,0.1838,0.0898,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:28+00:00
32643_124_1250,open_land,2021,india_tiles/tiles/open_land/32643_124_1250_2021.tif,,73.14594169218014,28.92275673373543,32643,317440,3200000,320000,3202560,11,0.0976,0.0032,0.8849,0,1.0,0.0923,0.1146,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:34+00:00
32643_189_925,agriculture,2025,india_tiles/tiles/agriculture/32643_189_925_2025.tif,india_tiles/thumbs/32643_189_925.jpg,74.85672588879702,21.42634854087254,32643,483840,2368000,486400,2370560,11,0.8902,0.0005,0.024,0.0005,1.0,0.4991,-0.1389,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:34+00:00
32645_114_968,agriculture,2025,india_tiles/tiles/agriculture/32645_114_968_2025.tif,india_tiles/thumbs/32645_114_968.jpg,84.99865902842716,22.400101372199423,32645,291840,2478080,294400,2480640,11,0.7032,0.0002,0.1666,0,1.0,0.3669,0.0296,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:35+00:00
32644_208_920,agriculture,2025,india_tiles/tiles/agriculture/32644_208_920_2025.tif,india_tiles/thumbs/32644_208_920.jpg,81.33504576686941,21.30999895483923,32644,532480,2355200,535040,2357760,11,0.7489,0.0182,0.1078,0.0103,1.0,0.3685,-0.0002,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:40+00:00
32644_120_1167,agriculture,2025,india_tiles/tiles/agriculture/32644_120_1167_2025.tif,india_tiles/thumbs/32644_120_1167.jpg,79.07737829888703,27.014804763259566,32644,307200,2987520,309760,2990080,11,0.9132,0.0194,0.0409,0,1.0,0.4083,-0.0897,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:41+00:00
32644_96_1412,open_land,2025,india_tiles/tiles/open_land/32644_96_1412_2025.tif,india_tiles/thumbs/32644_96_1412.jpg,78.29057879859776,32.64191686605488,32644,245760,3614720,248320,3617280,11,0,0,0.9901,0.0008,1.0,0.0248,-0.0861,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:42+00:00
32643_276_1445,open_land,2025,india_tiles/tiles/open_land/32643_276_1445_2025.tif,india_tiles/thumbs/32643_276_1445.jpg,77.242854292328,33.428926425207884,32643,706560,3699200,709120,3701760,11,0,0,0.9034,0.0008,1.0,0.0988,-0.0689,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:44+00:00
32643_311_377,city_structures,2025,india_tiles/tiles/city_structures/32643_311_377_2025.tif,india_tiles/thumbs/32643_311_377.jpg,77.69952965525634,8.727413839789811,32643,796160,965120,798720,967680,30,0.2342,0.4072,0.0237,0.0212,1.0,0.4394,-0.0808,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:45+00:00
32643_192_1417,urban_areas,2025,india_tiles/tiles/urban_areas/32643_192_1417_2025.tif,india_tiles/thumbs/32643_192_1417.jpg,74.93101393351505,32.79737946508413,32643,491520,3627520,494080,3630080,21,0.1613,0.1505,0.1454,0.0131,1.0,0.4532,-0.0709,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:46+00:00
32643_230_1334,city_structures,2025,india_tiles/tiles/city_structures/32643_230_1334_2025.tif,india_tiles/thumbs/32643_230_1334.jpg,75.94839176582086,30.86981290446692,32643,588800,3415040,591360,3417600,30,0.1499,0.671,0.0657,0,1.0,0.2051,0.0117,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:48+00:00
